problemTitle,language,code,id
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        x = list(sorted(set(nums)))\n        return x[-3] if len(x) >= 3 else x[-1]",11
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        long maxOne = Long.MIN_VALUE;\n        long maxTwo = Long.MIN_VALUE;\n        long maxThree = Long.MIN_VALUE;\n        for (int num2:nums){\n            long num = num2;\n          if(num == maxOne || num == maxTwo || num == maxThree){\n            continue;\n          }\n            if (num>maxOne){\n                maxThree = maxTwo;\n                maxTwo = maxOne;\n                maxOne = num;\n            }\n            else if (num>maxTwo ){\n                maxThree = maxTwo;\n                maxTwo = num;\n            }\n            else  if (num>maxThree){\n                maxThree = num;\n            }\n        }\n        return (int)( (maxThree == Long.MIN_VALUE) ? maxOne:maxThree);\n        \n    }\n},16
Third Maximum Number,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        int prev = 1, curr = 1;\n        for (int i = 2; i <= n; i++) {\n            int temp = curr;\n            curr = prev + curr;\n            prev = temp;\n        }\n        return curr;\n    }\n}",23
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        HashSet<Integer> set = new HashSet<>();\n        for(int n:nums){\n            set.add(n);\n        }\n        int[] arr = new int[set.size()];\n        int count=0;\n        for(int n:set){\n            arr[count++] = n;\n        }\n        Arrays.sort(arr);\n        int len = arr.length-1;\n        if(len >= 2){\n            return arr[len-2];\n        }\n        return arr[len];\n    }\n},28
Third Maximum Number,java,"class Solution {\n    public Object solution(Object n) {\n        long third=Long.MIN_VALUE,second=Long.MIN_VALUE,first=Long.MIN_VALUE;\n        for(int n:nums){\n            if(n==third || n==second || n==first){\n                continue;\n            }\n            if(n>first){\n                third=second;\n                second=first;\n                first=n;\n            }else if(n>second){\n                third=second;\n                second=n;\n            }else if( n>third){\n                third=n;\n            }\n        }\n        return third==Long.MIN_VALUE?(int)first:(int)third;\n    }\n}",29
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n       TreeSet<Integer> set=new TreeSet<>();\n       for(int num:nums)set.add(num);\n       List<Integer> list=new ArrayList<>(set);\n       if(list.size()>=3){\n        return list.get(list.size()-3);\n       }\n       else{\n        return list.get(list.size()-1);\n       }\n    }\n},30
Third Maximum Number,java,class Solution {\n    public Object solution(Object input) {\n        long first=Long.MIN_VALUE;\n        long second=Long.MIN_VALUE;\n        long third=Long.MIN_VALUE;\n        for(int i=0;i<nums.length;i++){\n            if(nums[i]>first){\n                third=second;\n                second=first;\n                first=nums[i];\n\n            }\n      else  if(nums[i]>second && nums[i]<first){\n            third=second;\n            second=nums[i];\n\n            }\n        else if(nums[i]>third && nums[i]<second)\n            third=nums[i];\n        }\n        if(third==Long.MIN_VALUE)\n        return (int)first;\n       \n\n         return (int)third;\n    }\n},32
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n      Arrays.sort(nums);\n        if(nums.length<3)\n        return nums[nums.length-1];\n        int a=1;\n        for(int i=nums.length-1;i>0;i--)\n        {\n            if(nums[i]-nums[i-1]!=0)a++;\n            if(a==3)return nums[i-1];\n        }\n        return nums[nums.length-1];   \n        \n    }\n},33
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        int i = 0;\n        for(int indx = nums.length-2; indx >= 0; indx--){\n            if(nums[indx] != nums[indx+1]){\n                i++;\n            }\n            if(i == 2){\n                return nums[indx];\n            }\n        }\n        return nums[nums.length-1];\n    }\n},40
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    long first = LONG_MIN, second = LONG_MIN, third = LONG_MIN;\n    for (int i = 0; i < numsSize; i++) {\n        long n = nums[i];\n        if (n == first || n == second || n == third)\n            continue;\n        if (n > first) {\n            third = second;\n            second = first;\n            first = n;\n        }\n        else if (n > second) {\n            third = second;\n            second = n;\n        }\n        else if (n > third) {\n            third = n;\n        }\n    }\n    return (third == LONG_MIN)?first:third;\n}",41
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        int n = nums.length, cnt = 1;\n\n        for (int i = n - 1; i >= 1; i--) {\n            if (nums[i] != nums[i - 1]) \n                cnt++;\n            if (cnt == 3)\n                return nums[i - 1];\n        }\n\n        return nums[n - 1];\n    }\n}",42
Third Maximum Number,cpp,"class Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n    int n = nums.size();\n    long max1 = LONG_MIN, max2 = LONG_MIN, max3 = LONG_MIN;\n\n    for (int i = 0; i < n; i++) {\n        if (max1 < nums[i]) {\n            max3 = max2;\n            max2 = max1;\n            max1 = nums[i];\n        } \n        else if (max2 < nums[i] && nums[i] != max1) {\n            max3 = max2;\n            max2 = nums[i];\n        } \n        else if (max3 < nums[i] && nums[i] != max2 && nums[i] != max1) {\n                max3 = nums[i];\n        }\n    }\n\n    return max3 == LONG_MIN ? max1 : max3;\n\n    }\n};",44
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        if(nums.length<=2)\n        return nums[nums.length-1];\n        int distinct=1;\n        int i;\n        for(i=nums.length-2; i>=0; i--)\n        {\n            if(nums[i]!=nums[i+1])\n            distinct++;\n\n            if(distinct==3)\n            return nums[i];\n        }\n        return nums[nums.length-1];\n    }\n},45
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Integer max1 = null, max2 = null, max3 = null;\n        for (int num : nums) {\n\n            if ((max1 != null && num == max1) ||\n                (max2 != null && num == max2) ||\n                (max3 != null && num == max3)) {\n                continue;\n            }\n\n            if (max1 == null || num > max1) {\n                max3 = max2;\n                max2 = max1;\n                max1 = num;\n            }\n            else if (max2 == null || num > max2) {\n                max3 = max2;\n                max2 = num;\n            }\n            else if (max3 == null || num > max3) {\n                max3 = num;\n            }\n        }\n\n        return max3 == null ? max1 : max3;\n    }\n}",48
Third Maximum Number,java,"class Solution {\n    public Object solution(Object input) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}",50
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        HashSet<Integer> set=new HashSet<>();\n        \n        for(int num:nums){\n            set.add(num);\n        }\n        int j=0;\n        int arr[]=new int[set.size()];\n        for(int i:set){\n            arr[j++]=i;\n        }\n        Arrays.sort(arr);\n        \n        if(arr.length>=3){\n            return(arr[arr.length-3]);\n        }\n        return (arr[arr.length-1]);\n        \n    }\n},51
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n      \n        Long first = null;   \n        Long second = null; \n        Long third = null;   \n        \n        for (int num : nums) {\n            long n = num;\n\n           \n            if ((first != null && n == first) ||\n                (second != null && n == second) ||\n                (third != null && n == third)) {\n                continue;\n            }\n\n    \n            if (first == null || n > first) {\n              \n                third = second;\n                second = first;\n                first = n;\n            } else if (second == null || n > second) {\n               \n                third = second;\n                second = n;\n            } else if (third == null || n > third) {\n                third = n;\n            }\n        }\n\n  \n        return (third == null) ? first.intValue() : third.intValue();\n    }\n}\n,54
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    long long max=LLONG_MIN,max2=LLONG_MIN,max3=LLONG_MIN;\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]==max||nums[i]==max2||nums[i]==max3)\n        continue;\n        if(nums[i]>max){\n            max3=max2;\n            max2=max;\n            max=nums[i];\n        }\n        else if (nums[i]>max2){\n            max3=max2;\n            max2=nums[i];\n        }\n        else if(nums[i]>max3){\n            max3=nums[i];\n        }\n    }\n    if(max3==LLONG_MIN)\n    return max;\n    \n    return max3;\n\n}",55
Third Maximum Number,java,\n\nclass Solution {\n        public int thirdMax(int[] nums) {\n        Integer m1 = null;\n        Integer m2 = null;\n        Integer m3 = null;\n        for (Integer n : nums) {\n            if (n.equals(m1) || n.equals(m2) || n.equals(m3)) continue;\n            if (m1 == null || n > m1) {\n                m3 = m2;\n                m2 = m1;\n                m1 = n;\n            } else if (m2 == null || n > m2) {\n                m3 = m2;\n                m2 = n;\n            } else if (m3 == null || n > m3) {\n                m3 = n;\n            }\n        }\n        return m3 == null ? m1 : m3;\n    }\n},56
Third Maximum Number,cpp,"class Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        \n        sort(nums.begin(),nums.end());\n        int c=0;\n        nums.erase(unique(nums.begin(),nums.end()),nums.end());\n        if(nums.size()==1){\n            return nums[0];\n        }\n        if(nums.size()<3){\n            if(nums[0]>nums[1]){\n                return nums[0];\n            }\n            else{\n                return nums[1];\n            }\n        }\n        for(int i=0;i<nums.size();i++){\n            for(int j=0;j<nums.size();j++){\n                   if(nums[i]!=nums[j]){\n                    if(nums[i]<nums[j]){\n                        c++;\n                    }\n                   }\n            }\n              if(c==2){\n                    return nums[i];\n                   }\n                   c=0;\n        }\n        return 0;\n    }\n};",57
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}",58
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}",59
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}",60
Third Maximum Number,python,"class Solution(object):\n    def thirdMax(self, nums):\n        """"""\n        :type nums: List[int]\n        :rtype: int\n        """"""\n        nums=list(set(nums))\n        nums.sort()\n        if(len(nums)<3):\n            return nums[-1]\n        else:\n         return nums[-3]",61
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        set<int>max;\n        for(int i:nums){\n            max.insert(i);\n        }\n        if(max.size()==1){\n            return nums[0];\n        }\n        if(max.size()==2){\n            auto t=next(max.begin(),max.size()-1);\n            if(t!=max.end()){\n                return *t;\n            }\n        }\n        auto t=next(max.begin(),max.size()-3);\n        if(t!=max.end()){\n            return *t;\n        }\n        return 0;\n    \n    }\n};",62
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        set<int>max;\n        for(int i:nums){\n            max.insert(i);\n        }\n        if(max.size()==1){\n            return nums[0];\n        }\n        if(max.size()==2){\n            auto t=next(max.begin(),max.size()-1);\n            if(t!=max.end()){\n                return *t;\n            }\n        }\n        auto t=next(max.begin(),max.size()-3);\n        if(t!=max.end()){\n            return *t;\n        }\n        return 0;\n    \n    }\n};",63
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        lst = list(set(nums))\n        lst.sort(reverse=True)\n        if(len(lst)<3):\n            return max(lst)\n        return lst[2]",64
Third Maximum Number,c,// Third Maximum Number\n// TODO: Implement solution\n\nvoid solution() {\n    long max1=LONG_MIN;\n    long max2=LONG_MIN;\n    long max3=LONG_MIN;\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max1){\n            max1=nums[i];\n        }\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max2 && nums[i]!=max1){\n            max2=nums[i];\n        }\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max3 && nums[i]!=max1 && nums[i]!=max2){\n            max3=nums[i];\n        }\n    }\n    if(max1==max2){\n        return max1;\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max3 && nums[i]!=max1 && nums[i]!=max2){\n            max3=nums[i];\n        }\n    }\n    if(max3==LONG_MIN){\n        return max1;\n    }\n    return max3;\n},65
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        lst = list(set(nums))\n        lst.sort(reverse=True)\n        if(len(lst)<3):\n            return max(lst)\n        return lst[2]",66
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        sort(nums.begin(), nums.end());\n        nums.erase(unique(nums.begin(), nums.end()), nums.end());\n\n        reverse(nums.begin(), nums.end());\n\n        if(nums.size() < 3) return nums.front();        \n\n        return nums[2];        \n    }\n};",67
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        first = max(nums)\n        while(True):\n            if first in nums:\n                nums.remove(first)\n            else:\n                break\n\n        if(nums==[]): return first\n\n        second = max(nums)\n        while(True):\n            if second in nums:\n                nums.remove(second)\n            else:\n                break\n\n        new = 0\n        if(first > second): new = first\n        else: new = second\n\n        if(nums==[]): return new\n        third = max(nums)\n        return third\n            ",68
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        long first=Long.MIN_VALUE;\n        long second=Long.MIN_VALUE;\n        long third=Long.MIN_VALUE;\n        for(int i=0;i<nums.length;i++){\n            if(nums[i]>first){\n                third=second;\n                second=first;\n                first=nums[i];\n\n            }\n      else  if(nums[i]>second && nums[i]<first){\n            third=second;\n            second=nums[i];\n\n            }\n        else if(nums[i]>third && nums[i]<second)\n            third=nums[i];\n        }\n        if(third==Long.MIN_VALUE)\n        return (int)first;\n       \n\n         return (int)third;\n    }\n},69
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        TreeSet<Integer> set = new TreeSet<>();\n        for(int i:nums){\n            set.add(i);\n        }\n        ArrayList<Integer> list = new ArrayList<>();\n        for(int i:set){\n            list.add(i);\n        }\n        if(list.size() == 2) return list.get(1);\n        if(list.size() == 1) return list.get(0);\n        return list.get(list.size()-3);\n    }\n},70
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        TreeSet<Integer> ts = new TreeSet<>();\n        for(int x:nums)\n        {\n            ts.add(x);\n        }\n        List<Integer> lst = new ArrayList<>(ts);\n        if(lst.size() >= 3)\n        {\n            return lst.get(lst.size() - 3);\n        }\n        else\n        {\n            return lst.get(lst.size() - 1);\n        }\n\n    }\n},72
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nint thirdMax(int* nums, int numsSize) {\n    long long first=LLONG_MIN;\n    long long sec=LLONG_MIN;\n    long long third=LLONG_MIN;\n    for(int i=0;i<numsSize;i++)\n    {\n        if(nums[i]==first || nums[i]== sec || nums[i]==third) { continue; }\n        else if(nums[i]>first){\n            third=sec;\n            sec=first;\n            first=nums[i];\n        }\n        else if(nums[i]>sec)\n        {\n            third=sec;\n            sec=nums[i];\n        }\n        else if(nums[i]>third)\n        {\n            third=nums[i];\n        }\n    }\n    if(third==LLONG_MIN) { return first; }\n    else\n    return third;\n}",73
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        if(nums.length ==1) return nums[0];\n        if(nums.length == 2)return Math.max(nums[0],nums[1]);\n        int  fmx = Integer.MIN_VALUE;\n        int smx = Integer.MIN_VALUE;\n        int tmx = Integer.MIN_VALUE;\n        int flg = 0;\n        for(int i=0;i<nums.length;i++)\n        {\n            if(nums[i]==Integer.MIN_VALUE)flg=1;\n            if(nums[i]>fmx)\n            {\n                tmx = smx;\n                smx = fmx;\n                fmx = nums[i];\n            }\n            else if(nums[i]>smx && nums[i]!=fmx)\n            {\n                tmx = smx;\n                smx = nums[i];\n            }\n            else if(nums[i]>tmx && nums[i]!=smx && nums[i]!=fmx)\n            {\n                tmx = nums[i];\n            }\n        }\n        System.out.println(fmx+"" ""+smx+"" ""+tmx);\n        if((tmx == Integer.MIN_VALUE && smx==Integer.MIN_VALUE)||(tmx==Integer.MIN_VALUE && flg==0))return fmx;\n        return tmx;\n    }\n}",75
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        TreeSet<Integer> tset = new TreeSet<>();\n        for(int i=0; i < nums.length; i++){\n            tset.add(nums[i]);\n        }\n        if(tset.size() == 1){\n            return tset.pollLast();\n        }\n        else if(tset.size() == 2){\n            return tset.pollLast();\n        }\n        else{\n            tset.pollLast();\n            tset.pollLast();\n            return tset.pollLast();\n        }\n    }\n},76
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Integer fmax= null ,smax=null,tmax=null;\n        for(Integer num: nums){\n            if(num.equals(fmax)|| num.equals(smax)|| num.equals(tmax)) continue;\n            if(fmax == null || fmax < num){\n                tmax = smax;\n                smax = fmax;\n                fmax = num;\n            }\n            else if(smax==null || smax < num){\n                tmax = smax;\n                smax = num;\n            }\n            else if(tmax == null || tmax<num) tmax = num;\n        }\n        return tmax == null?fmax:tmax;\n    }\n}",78
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Integer fmax= null ,smax=null,tmax=null;\n        for(Integer num: nums){\n            if(num.equals(fmax)|| num.equals(smax)|| num.equals(tmax)) continue;\n            if(fmax == null || fmax < num){\n                tmax = smax;\n                smax = fmax;\n                fmax = num;\n            }\n            else if(smax==null || smax < num){\n                tmax = smax;\n                smax = num;\n            }\n            else if(tmax == null || tmax<num) tmax = num;\n        }\n        return tmax == null?fmax:tmax;\n    }\n}",79
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        sort(nums.begin(),nums.end());\n        auto dup=unique(nums.begin(),nums.end());\n        nums.erase(dup,nums.end());\n        if(nums.size()==1)\n            return nums[0];\n        else if(nums.size()==2)\n            return nums[1];\n        else\n            return nums[nums.size()-3];   \n    }\n};",83
Third Maximum Number,python,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        for(int i = 0;i<nums.length/2;++i){\n            int temp = nums[i];\n            nums[i] = nums[nums.length-1-i];\n            nums[nums.length-1-i] = temp;\n        }\n        int count = 1;\n        int prev = nums[0];\n        for(int i = 1;i<nums.length;++i){\n            if(nums[i]!=prev){\n                count+=1;\n                prev = nums[i];\n            }\n            if(count==3) return nums[i];\n        }\n        return nums[0];\n    }\n},90
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n      int len=nums.length;\n      TreeSet<Integer> num=new TreeSet<>();\n      for(int n:nums){\n        num.add(n);\n      }\n      List<Integer> list=new ArrayList<>(num);\n      int l=list.size();\n      if(l>=3){\n        return list.get(l-3);\n      }\n      else{\n        return list.get(l-1);\n      }\n    }\n},91
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nvoid solution() {\n#include <limits.h>\n\nint thirdMax(int* nums, int numsSize) {\n    long  fmax=LONG_MIN,smax=LONG_MIN,tmax=LONG_MIN+10;\n    for(int i=0;i<numsSize;i++)\n    {\n\n        long long x=nums[i];\n        if(x==fmax || x==smax|| x==tmax)\n        {\n            continue;\n        }\n        if(x>fmax)\n        {\n            tmax=smax;\n            smax=fmax;\n            fmax=x;\n        }else if(x>smax)\n        {\n            tmax=smax;\n            smax=x;\n        }else if(x>tmax)\n        {\n            tmax=x;\n        }\n    }\n    if(tmax==LONG_MIN)\n    {\n        return fmax;\n    }\n    return tmax;\n}\n\n    \n}",92
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        nums = sorted(set(nums))\n        if len(nums) < 3:\n            return nums[-1]\n        return nums[-3]\n",93
Third Maximum Number,java,class Solution {\n    public static int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n\n        ArrayList<Integer> arr = new ArrayList<>();\n\n        for (int i = 0; i < nums.length; i++) {\n            if (arr.isEmpty() || arr.get(arr.size() - 1) != nums[i]) {\n                arr.add(nums[i]);\n            }\n        }\n\n        if (arr.size() < 3) {\n            return arr.get(arr.size() - 1);\n        }\n\n        return arr.get(arr.size() - 3);\n    }\n}\n,94
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Set<Integer> ts=new HashSet<>();\n        for(int ch:nums){\n            ts.add(ch);\n        }\n        List<Integer> al=new ArrayList<>(ts);\n        Collections.sort(al);\n        if(al.size()==2){\n            return al.get(1);\n        }\n        else if(al.size()==1){\n            return al.get(0);\n        }\n        else return al.get(al.size()-3);\n    }\n},95
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\n#include <stdio.h>\nint thirdMax(int* nums, int numsSize) {\n    int i,j,temp,max=0;\n    for(i=0;i<numsSize;i++)\n    {\n        for(j=i+1;j<numsSize;j++)\n        {\n            if(nums[i]>nums[j])\n            {\n                temp=nums[i];\n                nums[i]=nums[j];\n                nums[j]=temp;\n            }\n        }\n    }\n    int k=0;\n    for(i=0;i<numsSize;i++)\n    {\n        for(j=i+1;j<numsSize;j++)\n        {\n            if(nums[i]!=nums[j])\n            {\n                nums[k++]=nums[i];\n            }\n        }\n\n    }\n    if(numsSize>=3)\n    {\n        max=nums[2];\n  return max;\n    }\n    else if(numsSize==2)\n    {\n        max=nums[1];\n        return max;\n    }\n    else\n    {\n        max=nums[0];\n        return max;\n    }\n  \n    \n}\n    \n}\nint main()\n{ int nums[100];\nint numsSize;\nint i;\nscanf(""%d"",&numsSize);\nfor(i=0;i<numsSize;i++)\n{\nscanf(""%d"",&nums[i]);\n}\nprintf(""%d"",thirdMax(nums,numsSize));\n}\n}\n",97
